cashup_id,restaurant_id,bod_amount,sales,expenses,delivery_charges,eod_amount,tax,is_match,banking_id,cash_up_date,cashup_status
1,1,0.0,4859.46,1744,297.92,2817.54,94.04,False,1,2024-01-01,matched
2,1,2424.93,5347.35,1892,281.39,5598.89,126.69,True,2,2024-01-02,matched
3,1,4095.4000000000005,5143.9400000000005,2322,233.99,6683.35,140.21,True,3,2024-01-03,matched
4,1,5980.26,4982.52,2403,143.67,8416.11,177.3,True,4,2024-01-04,unmatched
5,1,5665.640000000001,5524.64,1410,225.74,9554.540000000003,163.37,True,5,2024-01-05,unmatched
6,1,1160.7100000000028,4618.53,2564,201.2,3014.0400000000027,130.34,True,6,2024-01-06,matched
7,1,1723.8600000000026,5242.9,2361,190.2,4415.560000000002,167.07,True,7,2024-01-07,unmatched
8,1,8.780000000002474,4859.42,1382,142.07,3344.1300000000024,171.95,True,8,2024-01-08,matched
9,1,3263.4100000000026,5471.9800000000005,1701,318.07,6716.320000000003,114.57,True,9,2024-01-09,matched
10,1,6700.790000000004,5856.3,2033,201.82,10322.270000000004,191.91,True,10,2024-01-10,matched
11,1,8875.850000000004,4979.32,2568,211.81,11075.360000000004,143.05,True,11,2024-01-11,unmatched
12,1,4917.520000000004,5185.23,2002,307.47,7793.280000000003,105.53,False,12,2024-01-12,unmatched
13,1,217.39000000000306,5322.88,2573,165.52,2801.750000000003,183.37,True,13,2024-01-13,unmatched
14,1,1746.4000000000033,5068.58,1143,126.28,5545.7000000000035,190.31,False,14,2024-01-14,unmatched
15,1,5442.2000000000035,5390.74,1852,322.04,8658.900000000001,108.52,False,15,2024-01-15,unmatched
16,1,6406.020000000001,4830.89,3374,239.73,7623.180000000002,121.68,False,16,2024-01-16,unmatched
17,1,3146.7400000000025,5059.679999999999,1315,228.84,6662.580000000002,138.54,True,17,2024-01-17,unmatched
18,1,573.3300000000017,5553.92,1185,231.7,4710.550000000002,161.85,True,18,2024-01-18,unmatched
19,1,4278.940000000002,5324.83,3067,125.58,6411.190000000002,203.45,False,19,2024-01-19,unmatched
20,1,4256.590000000002,5169.39,1175,188.74,8062.240000000003,164.09,False,20,2024-01-20,unmatched
21,1,6989.570000000003,5634.96,1693,176.78,10754.750000000002,193.35999999999999,True,21,2024-01-21,matched
22,1,4771.980000000001,4517.26,2201,209.81,6878.430000000001,120.94,True,22,2024-01-22,matched
23,1,3025.630000000001,5544.15,2075,276.89,6217.89,138.75,True,23,2024-01-23,unmatched
24,1,6061.89,5560.82,3476,226.45,7920.259999999999,164.83,False,24,2024-01-24,matched
25,1,1811.869999999999,5147.59,2782,237.06,3940.399999999999,138.85,False,25,2024-01-25,unmatched
26,1,3367.289999999999,5415.73,2855,192.98,5735.039999999999,174.31,True,26,2024-01-26,matched
27,1,4593.3099999999995,5344.5,2896,212.47,6829.339999999999,160.97,False,27,2024-01-27,unmatched
28,1,2877.2799999999993,5178.200000000001,1654,150.37,6251.11,183.73,True,28,2024-01-28,matched
29,1,779.8800000000001,5004.2699999999995,2613,111.17999999999999,3059.97,194.64,True,29,2024-01-29,unmatched
30,1,1555.3999999999999,5056.14,2973,266.44,3372.1,119.58,False,30,2024-01-30,unmatched
31,1,3218.15,4857.16,3046,196.12,4833.19,144.82,True,31,2024-01-31,unmatched
32,1,3381.6499999999996,5136.7699999999995,2135,197.34,6186.079999999998,158.2,False,32,2024-02-01,matched
33,1,6161.269999999998,5545.03,3114,305.4,8286.899999999998,124.56,False,33,2024-02-02,matched
34,1,1874.7599999999975,5454.37,1170,278.75,5880.379999999997,133.34,True,34,2024-02-03,matched
35,1,124.0799999999972,5476.38,1546,162.96,3891.4999999999973,192.34,True,35,2024-02-04,matched
36,1,3353.3599999999974,4850.07,2167,204.52,5831.909999999996,140.26,False,36,2024-02-05,matched
37,1,5568.2999999999965,4521.84,2661,216.95,7212.189999999996,117.63,True,37,2024-02-06,matched
38,1,174.06999999999607,5285.22,1876,296.85,3286.4399999999964,115.82,True,38,2024-02-07,unmatched
39,1,2446.1499999999965,4904.12,1580,211.82,5558.449999999997,139.28,False,39,2024-02-08,matched
40,1,4723.599999999997,4948.4,1938,138.26,7595.739999999996,178.29,False,40,2024-02-09,unmatched
41,1,6882.539999999996,4628.95,1431,150.45,9930.039999999995,156.24,False,41,2024-02-10,unmatched
42,1,8766.979999999996,5378.12,2458,283.77,11403.329999999994,127.04,True,42,2024-02-11,matched
43,1,1669.0099999999948,5254.889999999999,2778,302.7,3843.1999999999944,111.39,True,43,2024-02-12,unmatched
44,1,245.7599999999943,5106.92,2550,199.35999999999999,2603.3199999999947,155.67,False,44,2024-02-13,matched
45,1,1467.2499999999948,5287.76,2578,301.23,3875.7799999999947,113.78,False,45,2024-02-14,unmatched
46,1,2391.229999999995,4566.62,2706,162.26,4089.5899999999947,147.19,True,46,2024-02-15,unmatched
47,1,2959.769999999995,5596.12,2841,235.17,5479.719999999996,162.21,False,47,2024-02-16,matched
48,1,1843.9899999999957,4912.62,2671,134.45000000000002,3951.1599999999953,178.43,False,48,2024-02-17,matched
49,1,1628.1399999999953,5199.32,2557,251.75,4018.7099999999955,134.10999999999999,True,49,2024-02-18,unmatched
50,1,3637.8799999999956,5309.53,1935,205.02,6807.389999999996,162.98,False,50,2024-02-19,matched
51,1,313.50999999999567,5928.030000000001,1857,295.46,4089.0799999999963,148.67,True,51,2024-02-20,matched
52,1,738.0999999999963,5526.32,2432,280.69,3551.7299999999964,135.97,False,52,2024-02-21,unmatched
53,1,1089.5699999999965,4547.4,2531,167.69,2938.2799999999957,143.51,False,53,2024-02-22,unmatched
54,1,817.3699999999958,5261.88,2619,313.1,3147.1499999999965,106.53,True,54,2024-02-23,matched
55,1,2987.5999999999963,5375.779999999999,1786,228.07999999999998,6349.299999999996,154.76,False,55,2024-02-24,unmatched
56,1,6078.439999999996,5185.81,1214,177.11,9873.139999999996,170.72,True,56,2024-02-25,matched
57,1,8906.079999999996,5024.23,2030,220.73,11679.579999999996,140.85,False,57,2024-02-26,unmatched
58,1,6815.3399999999965,4943.889999999999,1557,178.29,10023.939999999995,158.03,False,58,2024-02-27,matched
59,1,8599.139999999996,4946.709999999999,2790,299.11,10456.739999999994,97.79,False,59,2024-02-28,matched
60,1,9553.379999999994,5554.129999999999,2255,178.33,12674.179999999993,188.53,True,60,2024-02-29,unmatched
61,1,12364.789999999994,5646.199999999999,1615,235.67000000000002,16160.31999999999,164.47,False,61,2024-03-01,matched
62,1,1235.339999999991,5631.66,2326,211.28,4329.719999999991,175.95,False,62,2024-03-02,matched
63,1,4003.909999999991,5158.81,1865,174.85,7122.869999999992,170.51,False,63,2024-03-03,unmatched
64,1,6532.489999999992,5625.9800000000005,1989,246.74,9922.729999999992,157.93,True,64,2024-03-04,matched
65,1,2167.389999999992,4961.09,2514,173.5,4440.979999999992,161.31,False,65,2024-03-05,matched
66,1,467.63999999999214,4788.03,2321,127.05,2807.6199999999917,175.87,True,66,2024-03-06,unmatched
67,1,1363.1099999999917,5380.509999999999,1750,211.88,4781.739999999991,163.08,True,67,2024-03-07,matched
68,1,4744.789999999991,5012.46,3397,159.71,6200.539999999991,170.75,True,68,2024-03-08,unmatched
69,1,4085.829999999991,5214.0599999999995,1771,247.05,7281.83999999999,137.17,False,69,2024-03-09,matched
70,1,2882.94999999999,5741.550000000001,1808,184.94,6631.559999999991,194.60999999999999,True,70,2024-03-10,matched
71,1,4969.149999999991,5776.650000000001,2071,275.43,8399.369999999992,151.1,True,71,2024-03-11,unmatched
72,1,7072.8599999999915,4680.09,2042,109.22,9601.729999999992,179.39000000000001,True,72,2024-03-12,matched
73,1,1882.8499999999922,4970.4,1972,209.08,4672.169999999992,143.99,True,73,2024-03-13,matched
74,1,2940.689999999992,4716.83,1684,86.67,5886.849999999991,192.5,False,74,2024-03-14,unmatched
75,1,4004.919999999991,5292.26,2130,168.53,6998.649999999991,180.38,True,75,2024-03-15,matched
76,1,6891.139999999991,4979.0,2574,211.96,9084.179999999993,142.97,True,76,2024-03-16,unmatched
77,1,4120.779999999993,5119.96,1675,210.89000000000001,7354.849999999994,150.55,False,77,2024-03-17,unmatched
78,1,740.1999999999944,5099.04,1119,216.87,4503.369999999994,146.51,True,78,2024-03-18,matched
79,1,1615.7399999999943,5283.62,2471,274.67,4153.689999999994,126.87,True,79,2024-03-19,matched
80,1,3706.889999999994,4951.599999999999,1865,197.59,6595.899999999994,148.78,False,80,2024-03-20,unmatched
81,1,392.11999999999443,5488.490000000001,2338,188.35,3354.259999999995,180.23,False,81,2024-03-21,unmatched
82,1,2711.589999999995,5285.72,3026,209.18,4762.129999999996,159.72,False,82,2024-03-22,matched
83,1,4496.189999999996,4602.530000000001,2568,192.01,6338.709999999997,134.13,True,83,2024-03-23,matched
84,1,5034.539999999997,5789.349999999999,1748,224.42,8851.469999999996,177.27,False,84,2024-03-24,unmatched
85,1,298.06999999999607,5195.499999999999,1957,133.77,3402.799999999995,192.89,True,85,2024-03-25,unmatched
86,1,39.76999999999498,5138.4400000000005,1615,163.05,3400.1599999999953,175.41,False,86,2024-03-26,matched
87,1,2835.5999999999954,5274.9400000000005,1782,137.38,6191.159999999995,195.11,False,87,2024-03-27,matched
88,1,5325.1699999999955,5470.65,1625,200.79999999999998,8970.019999999997,173.12,True,88,2024-03-28,unmatched
89,1,6401.329999999996,5248.66,1365,227.36,10057.629999999996,148.75,True,89,2024-03-29,unmatched
90,1,1929.5599999999959,5151.42,1736,255.93,5089.049999999996,129.6,False,90,2024-03-30,unmatched
91,1,3926.2099999999955,5334.71,2101,171.64,6988.279999999994,180.93,False,91,2024-03-31,matched
92,1,1876.179999999994,4896.08,1962,203.34,4606.919999999994,143.14,False,92,2024-04-01,matched
93,1,3530.929999999994,5142.91,2934,271.66,5468.179999999993,121.33,True,93,2024-04-02,unmatched
94,1,2103.769999999993,5534.79,2711,226.45,4701.109999999993,163.53,False,94,2024-04-03,unmatched
95,1,3918.5799999999936,5216.58,2973,313.79,5848.369999999993,103.94,True,95,2024-04-04,matched
96,1,1311.049999999993,4985.549999999999,2064,265.64,3966.9599999999923,116.45,True,96,2024-04-05,matched
97,1,2.719999999992524,4824.71,2563,194.54,2069.889999999993,143.99,True,97,2024-04-06,matched
